Kategori|Skill|Micro Skill
Backend|WebSocket|Node.js ile WebSocket server kurulumu (ws modülü)
Backend|WebSocket|Client bağlantısı kurma (JavaScript ile)
Backend|WebSocket|Message gönderme ve alma (onmessage, send)
Backend|WebSocket|Bağlantı açıldığında işlem yapma (onopen)
Backend|WebSocket|Bağlantı kapandığında işlem yapma (onclose)
Backend|WebSocket|Hata yönetimi (onerror)
Backend|WebSocket|JSON veri gönderimi ve parse işlemleri
Backend|WebSocket|Ping-pong mesajları ile bağlantı kontrolü
Backend|WebSocket|Broadcast mesaj gönderme
Backend|WebSocket|Kullanıcıya özel kanal yönetimi
Backend|WebSocket|Oturum yönetimi ve kimlik doğrulama
Backend|WebSocket|JWT ile kullanıcı doğrulama entegrasyonu
Backend|WebSocket|WebSocket ile gerçek zamanlı chat uygulaması
Backend|WebSocket|WebSocket ile canlı veri takibi (stock, sensör vs.)
Backend|WebSocket|WebSocket ile multiplayer oyun altyapısı
Backend|WebSocket|WebSocket ile dashboard güncelleme
Backend|WebSocket|Redis ile WebSocket mesaj kuyruğu
Backend|WebSocket|Load balancing ve ölçeklenebilirlik stratejileri
Backend|WebSocket|WebSocket endpoint'leri versiyonlama
Backend|WebSocket|WebSocket güvenlik ayarları (rate limit, input sanitization)
Backend|WebSocket|WebSocket bağlantılarında zaman aşımı yönetimi
Backend|WebSocket|WebSocket lifecycle yönetimi
Backend|WebSocket|WebSocket debug ve loglama teknikleri
Backend|WebSocket|WebSocket ile veri şifreleme (TLS üzerinden)
Backend|WebSocket|WebSocket fallback stratejileri (long polling)
Bulut Platformları|AWS|AWS nedir ve genel servis yapısı
Bulut Platformları|AWS|IAM kullanıcı ve rol yönetimi
Bulut Platformları|AWS|EC2 sunucu oluşturma ve yapılandırma
Bulut Platformları|AWS|S3 ile dosya saklama ve bucket yönetimi
Bulut Platformları|AWS|RDS veritabanı kurulumu (MySQL, PostgreSQL)
Bulut Platformları|AWS|Lambda fonksiyon yazma
Bulut Platformları|AWS|API Gateway ile serverless API oluşturma
Bulut Platformları|AWS|CloudWatch loglama ve monitoring
Bulut Platformları|AWS|CloudFormation ile altyapı kodlama
Bulut Platformları|AWS|Route 53 ile DNS yönetimi
Bulut Platformları|AWS|Load Balancer kurulumu
Bulut Platformları|AWS|IAM policy yazımı ve atanması
Bulut Platformları|AWS|Security Groups ve VPC ayarları
Bulut Platformları|AWS|Elastic Beanstalk ile hızlı deploy
Bulut Platformları|AWS|SQS ile kuyruk sistemi oluşturma
Bulut Platformları|AWS|SES ile e-posta gönderimi
Bulut Platformları|AWS|AWS CLI komutları ile kaynak yönetimi
Bulut Platformları|AWS|Auto-scaling yapılandırma
Bulut Platformları|AWS|Billing yönetimi ve bütçe limiti
Bulut Platformları|AWS|SSL sertifikası tanımlama (ACM)
Bulut Platformları|AWS|Static website host etme (S3 ile)
Bulut Platformları|AWS|Snapshot ve backup işlemleri
Bulut Platformları|AWS|ECS / EKS ile container yönetimi
Bulut Platformları|Azure|Azure portal tanımı ve kaynak oluşturma
Bulut Platformları|Azure|Azure CLI kurulumu ve komutları
Bulut Platformları|Azure|App Service ile web uygulaması barındırma
Bulut Platformları|Azure|Azure Functions ile serverless yapı
Bulut Platformları|Azure|Blob Storage ile dosya saklama
Bulut Platformları|Azure|Cosmos DB ile NoSQL veritabanı
Bulut Platformları|Azure|SQL Database kurulumu
Bulut Platformları|Azure|Virtual Network (VNet) oluşturma
Bulut Platformları|Azure|Resource Group yönetimi
Bulut Platformları|Azure|Azure Monitor ile sistem takibi
Bulut Platformları|Azure|Azure DevOps pipeline oluşturma
Bulut Platformları|Azure|Role-based access control (RBAC)
Bulut Platformları|Azure|Logic Apps kullanımı
Bulut Platformları|Azure|API Management entegrasyonu
Bulut Platformları|Azure|Application Insights ile hata takibi
Bulut Platformları|Azure|Key Vault ile secret yönetimi
Bulut Platformları|Azure|Load balancer yapılandırma
Bulut Platformları|Azure|Otomatik ölçeklendirme (autoscale)
Bulut Platformları|Azure|Azure Policy ile güvenlik kuralları
Bulut Platformları|Azure|Azure Container Apps ile mikro servis barındırma
Bulut Platformları|Google Cloud|GCP nedir ve genel mimarisi
Bulut Platformları|Google Cloud|IAM & Admin paneli kullanımı
Bulut Platformları|Google Cloud|Compute Engine sanal makine kurulumu
Bulut Platformları|Google Cloud|Cloud Functions oluşturma
Bulut Platformları|Google Cloud|App Engine deploy süreci
Bulut Platformları|Google Cloud|Firestore veritabanı kullanımı
Bulut Platformları|Google Cloud|Cloud Storage ile dosya yönetimi
Bulut Platformları|Google Cloud|Cloud Build ile CI/CD entegrasyonu
Bulut Platformları|Google Cloud|Cloud Run ile container deploy
Bulut Platformları|Google Cloud|Logging ve Monitoring (Stackdriver)
Bulut Platformları|Google Cloud|API anahtarı ve erişim ayarları
Bulut Platformları|Google Cloud|Cloud SQL kurulumu ve bağlantı
Bulut Platformları|Google Cloud|Billing ve proje yönetimi
Bulut Platformları|Google Cloud|VPC ve firewall yapılandırması
Bulut Platformları|Google Cloud|BigQuery ile büyük veri analizi
Bulut Platformları|Google Cloud|Cloud Scheduler kullanımı
Bulut Platformları|Google Cloud|Cloud Pub/Sub ile mesaj kuyruğu
Bulut Platformları|Google Cloud|Deployment Manager ile altyapı yönetimi
Bulut Platformları|Google Cloud|Cloud Shell ile terminal kullanımı
Bulut Platformları|Google Cloud|GCP CLI (gcloud) ile kaynak yönetimi
DevOps|Ansible|Ansible nedir ve avantajları
DevOps|Ansible|Ansible kurulumu ve ortam ayarları
DevOps|Ansible|Inventory dosyası tanımı
DevOps|Ansible|Ad-hoc komutlar kullanımı
DevOps|Ansible|Playbook yazımı (YAML formatı)
DevOps|Ansible|Hosts ve grup tanımı
DevOps|Ansible|Task yapısı ve modül kullanımı
DevOps|Ansible|Package, service, copy modülleri
DevOps|Ansible|Vars tanımı ve include_vars kullanımı
DevOps|Ansible|Conditionals (when) ile görev kontrolü
DevOps|Ansible|Loops (with_items, loop)
DevOps|Ansible|Handlers ile tetiklenen görevler
DevOps|Ansible|Templates (Jinja2) kullanımı
DevOps|Ansible|Roles yapısı oluşturma
DevOps|Ansible|Role içinde vars, tasks, templates dizinleri
DevOps|Ansible|Dynamic inventory kullanımı
DevOps|Ansible|Ansible Vault ile şifreli yapı
DevOps|Ansible|Ansible Galaxy entegrasyonu
DevOps|Ansible|Hata yönetimi ve debug işlemleri
DevOps|Ansible|Register ile çıktı yakalama
DevOps|Ansible|Block yapısı ile grup task tanımı
DevOps|Ansible|Ansible ile Docker container yönetimi
DevOps|Ansible|Ansible ile sistem güncelleme otomasyonu
DevOps|Ansible|Uzak sunuculara uygulama kurulumu
DevOps|Ansible|CI/CD sürecinde Ansible kullanımı
DevOps|Ansible|Ansible Tower/ AWX arayüz kullanımı
DevOps|Ansible|Ansible ile çoklu ortam yapılandırması
DevOps|Ansible|SSH bağlantı ve kimlik doğrulama ayarları
DevOps|Ansible|Ansible log ve çıktı analizi
DevOps|CI/CD|CI/CD nedir tanımı ve faydaları
DevOps|CI/CD|Continuous Integration ve Deployment farkı
DevOps|CI/CD|CI/CD pipeline temel yapısı
DevOps|CI/CD|Git ile CI/CD entegrasyonu
DevOps|CI/CD|GitHub Actions kurulumu
DevOps|CI/CD|GitLab CI/CD dosyası (gitlab-ci.yml)
DevOps|CI/CD|Jenkins kurulumu ve job tanımı
DevOps|CI/CD|CircleCI ile pipeline tanımı
DevOps|CI/CD|Build adımı konfigürasyonu
DevOps|CI/CD|Test adımı entegrasyonu
DevOps|CI/CD|Otomatik deployment tanımı
DevOps|CI/CD|Environment bazlı build (dev/stage/prod)
DevOps|CI/CD|Docker ile CI/CD pipeline
DevOps|CI/CD|Docker Hub’a otomatik push
DevOps|CI/CD|Artifact oluşturma ve saklama
DevOps|CI/CD|Slack/Discord ile bildirim
DevOps|CI/CD|Pipeline cache mekanizması
DevOps|CI/CD|Hata durumunda rollback
DevOps|CI/CD|Secret yönetimi (GitHub Secrets, Vault)
DevOps|CI/CD|Pipeline security (signed commit, token)
DevOps|CI/CD|Manual trigger ve onay adımları
DevOps|CI/CD|Versioning stratejileri (semver)
DevOps|CI/CD|Test coverage raporlarının entegrasyonu
DevOps|CI/CD|Static code analysis araçları (SonarQube)
DevOps|CI/CD|Pipeline log analizi
DevOps|CI/CD|İşlem süresi optimizasyonu
DevOps|CI/CD|Custom Dockerfile build entegrasyonu
DevOps|CI/CD|Kubernetes entegrasyonu ile deploy
DevOps|CI/CD|Blue-green deployment
DevOps|CI/CD|Canary release
DevOps|Docker & Kubernetes|Docker nedir ve kullanım alanları
DevOps|Docker & Kubernetes|Docker kurulumu
DevOps|Docker & Kubernetes|Dockerfile oluşturma
DevOps|Docker & Kubernetes|Docker image oluşturma (docker build)
DevOps|Docker & Kubernetes|Docker container başlatma (docker run)
DevOps|Docker & Kubernetes|Docker container durdurma, silme
DevOps|Docker & Kubernetes|Volume tanımlama ve bağlama
DevOps|Docker & Kubernetes|Docker-compose dosyası oluşturma
DevOps|Docker & Kubernetes|Çoklu container yönetimi (docker-compose up)
DevOps|Docker & Kubernetes|Ortam değişkenleri ile çalışmak
DevOps|Docker & Kubernetes|Container loglarını takip etme
DevOps|Docker & Kubernetes|Docker Hub ile image paylaşımı
DevOps|Docker & Kubernetes|Docker network yönetimi
DevOps|Docker & Kubernetes|Image versiyonlama
DevOps|Docker & Kubernetes|Lightweight image'lar kullanma (Alpine)
DevOps|Docker & Kubernetes|Kubernetes mimarisini anlama
DevOps|Docker & Kubernetes|Minikube kurulumu ve kullanımı
DevOps|Docker & Kubernetes|Pod oluşturma ve yönetme
DevOps|Docker & Kubernetes|Deployment, Service, Ingress kavramları
DevOps|Docker & Kubernetes|kubectl komutları ile küme yönetimi
DevOps|Docker & Kubernetes|ConfigMap ve Secret kullanımı
DevOps|Docker & Kubernetes|Helm ile paket yönetimi
DevOps|Docker & Kubernetes|Namespace oluşturma ve ayrıştırma
DevOps|Docker & Kubernetes|Otomatik ölçeklendirme (Horizontal Pod Autoscaler)
DevOps|Docker & Kubernetes|Sağlık kontrolleri (liveness, readiness probes)
DevOps|Docker & Kubernetes|Rolling update ve rollback işlemleri
DevOps|Docker & Kubernetes|Kubernetes dashboard kurulumu
DevOps|Docker & Kubernetes|CI/CD entegrasyonu ile kullanım
DevOps|Docker & Kubernetes|StatefulSet vs Deployment farkları
DevOps|Docker & Kubernetes|VolumeMounts ile veri kalıcılığı
DevOps|Docker & Kubernetes|Pod içi container iletişimi
DevOps|Docker & Kubernetes|Container güvenliği temel prensipler
DevOps|Docker & Kubernetes|Resource limit ve request ayarları
DevOps|Docker & Kubernetes|Cluster monitoring araçları
DevOps|Docker & Kubernetes|LoadBalancer tipi servisler
DevOps|Docker & Kubernetes|Custom resource definition (CRD)
DevOps|Docker & Kubernetes|Network policy oluşturma
DevOps|Docker & Kubernetes|Persistent Volume Claim (PVC) kullanımı
DevOps|Docker & Kubernetes|Secrets ile güvenli yapılandırma
DevOps|Docker & Kubernetes|Gerçek zamanlı loglama ve hata ayıklama
DevOps|Terraform|Terraform nedir ve kullanım amacı
DevOps|Terraform|Terraform kurulumu ve yapılandırma
DevOps|Terraform|İlk Terraform projesi oluşturma
DevOps|Terraform|Terraform dosya yapısı (.tf, .tfvars)
DevOps|Terraform|Provider tanımı ve versiyon sabitleme
DevOps|Terraform|Resource tanımı (aws_instance, azurerm_resource_group)
DevOps|Terraform|Variable tanımlama ve kullanımı
DevOps|Terraform|Output değişkenleri oluşturma
DevOps|Terraform|locals ile lokal değişken kullanımı
DevOps|Terraform|data ile harici veri çekme
DevOps|Terraform|Module yapısı oluşturma ve çağırma
DevOps|Terraform|State dosyası ve önemi
DevOps|Terraform|remote state backend (S3, GCS)
DevOps|Terraform|Terraform init, plan, apply, destroy komutları
DevOps|Terraform|Resource dependency tanımı
DevOps|Terraform|Terraform workspace ile ortam yönetimi
DevOps|Terraform|Conditional ifadeler
DevOps|Terraform|for_each ve count ile kaynak oluşturma
DevOps|Terraform|Template dosyaları kullanımı (templatefile)
DevOps|Terraform|Dynamic block oluşturma
DevOps|Terraform|Lifecycle ayarları (prevent_destroy)
DevOps|Terraform|Provisioner ile script çalıştırma
DevOps|Terraform|Terraform Registry kullanımı
DevOps|Terraform|Terraform fmt, validate komutları
DevOps|Terraform|Terraform ile EC2 kurulum örneği
DevOps|Terraform|Terraform ile GCP kaynak oluşturma
DevOps|Terraform|Terraform ile Azure kaynak yönetimi
DevOps|Terraform|HCL (HashiCorp Configuration Language) yapısı
DevOps|Terraform|Terraform Cloud entegrasyonu
DevOps|Terraform|CI/CD ile Terraform pipeline kurulumu
Girişimcilik|Agile Yöntemler & CRM|Agile manifestosunu anlama
Girişimcilik|Agile Yöntemler & CRM|Scrum metodolojisini öğrenme
Girişimcilik|Agile Yöntemler & CRM|Kanban tahtası oluşturma
Girişimcilik|Agile Yöntemler & CRM|Sprint planlaması yapma
Girişimcilik|Agile Yöntemler & CRM|Daily stand-up toplantıları yürütme
Girişimcilik|Agile Yöntemler & CRM|Sprint review ve retrospective uygulama
Girişimcilik|Agile Yöntemler & CRM|Kullanıcı hikayesi (user story) yazımı
Girişimcilik|Agile Yöntemler & CRM|Story point ile iş tahmini yapma
Girişimcilik|Agile Yöntemler & CRM|Product backlog yönetimi
Girişimcilik|Agile Yöntemler & CRM|Jira veya Trello gibi araçları kullanma
Girişimcilik|Agile Yöntemler & CRM|Agile'da rol ve sorumluluklar (Scrum Master, Product Owner)
Girişimcilik|Agile Yöntemler & CRM|Takım içi iş birliği süreçlerini oluşturma
Girişimcilik|Agile Yöntemler & CRM|Minimum viable product kavramını Agile içinde ele alma
Girişimcilik|Agile Yöntemler & CRM|Çevik yazılım döngüsünü planlama
Girişimcilik|Agile Yöntemler & CRM|Test-driven development (TDD) prensiplerini uygulama
Girişimcilik|Agile Yöntemler & CRM|Sürekli entegrasyon / sürekli dağıtım süreçlerini planlama
Girişimcilik|Agile Yöntemler & CRM|Sprint içinde değişiklik yönetimi
Girişimcilik|Agile Yöntemler & CRM|Takım motivasyonu ve ölçümleme
Girişimcilik|Agile Yöntemler & CRM|CRM sistemlerinin temel kavramları
Girişimcilik|Agile Yöntemler & CRM|Müşteri segmentasyonu ve veri yönetimi
Girişimcilik|Finansal Planlama|Gelir-gider kalemlerini listeleme
Girişimcilik|Finansal Planlama|Nakit akışı tahmini yapma
Girişimcilik|Finansal Planlama|Başlangıç sermayesi hesaplama
Girişimcilik|Finansal Planlama|Sabit ve değişken maliyetleri ayırma
Girişimcilik|Finansal Planlama|Kar-zarar tahmini oluşturma
Girişimcilik|Finansal Planlama|Bütçe planı oluşturma
Girişimcilik|Finansal Planlama|Fiyatlandırma stratejisi belirleme
Girişimcilik|Finansal Planlama|Brüt ve net kâr analizi
Girişimcilik|Finansal Planlama|Birim ekonomi analizi
Girişimcilik|Finansal Planlama|Başabaş noktası (break-even) hesaplama
Girişimcilik|Finansal Planlama|Yatırım ihtiyacı hesaplama
Girişimcilik|Finansal Planlama|MVP için finansal kaynak belirleme
Girişimcilik|Finansal Planlama|Giderleri kategorilere ayırma
Girişimcilik|Finansal Planlama|Finansal tablolar oluşturma (Gelir tablosu vb.)
Girişimcilik|Finansal Planlama|Yatırımcıya sunum için finans verilerini hazırlama
Girişimcilik|Finansal Planlama|Finansal simülasyon senaryoları oluşturma
Girişimcilik|Finansal Planlama|Dönemsel bütçe revizyonu yapma
